annotated,correction,broad,order
greatblack_headedgull,black-headed_gull,gull,charadriiformes
gull,gull,gull,charadriiformes
herringgull,herring_gull,gull,charadriiformes
knotwader,red_knot,wader,charadriiformes
larusridibundus,black-headed_gull,gull,charadriiformes
larusargentatus,European_herring_gull,gull,charadriiformes
laruscanus,common_gull,gull,charadriiformes
lesserblackbackedgull,lesser_black-backed_gull,gull,charadriiformes
oystercatcher,oystercatcher,wader,charadriiformes
redknot,red_knot,wader,charadriiformes
arenaria_interpres,ruddy_turnstone,wader,charadriiformes
ruddyturnstone,ruddy_turnstone,wader,charadriiformes
sanderling,sanderling,wader,charadriiformes
sandpiper,sandpiper,wader,charadriiformes
sandwichtern,sandwich_tern,tern,charadriiformes
seagull,gull,gull,charadriiformes
shorebird,shorebird,wader,charadriiformes
slatybackedgull,slaty-backed_gull,gull,charadriiformes
slaty-backedgull,slaty-backed_gull,gull,charadriiformes
spur-wingedlapwing,spur-winged_lapwing,lapwing,charadriiformes
stonecurlew,stone_curlew,wader,charadriiformes
thalasseussandvicensis,sandwich_tern,tern,charadriiformes
yellowleggedgull,yellow-legged_gull,gull,charadriiformes
semipalmated_sandpiper,semi-palmated_sandpiper,wader,charadriiformes
american_oystercatcher,american_oystercatcher,wader,charadriiformes
red-necked_stint,red-necked_stint,wader,charadriiformes
larus_hyperboreus,glaucous-winged_gull,gull,charadriiformes
glaucouswingedgull,glaucous-winged_gull,gull,charadriiformes
sooty_tern,sooty_tern,tern,charadriiformes
larus_atricilla,laughing_gull,gull,charadriiformes
calidris_pusilla,semi-palmated_sandpiper,wader,charadriiformes
calidris_alba,sanderling,wader,charadriiformes
calidris_canutus,red_knot,wader,charadriiformes
larus_glaucescens,glaucous-winged_gull,gull,charadriiformes
larus_argentatus,European_herring_gull,gull,charadriiformes
leucophaeus_atricilla,laughing_gull,gull,charadriiformes
turnstone,ruddy_turnstone,wader,charadriiformes
chroicocephalus_ridibundus,black-headed_gull,gull,charadriiformes
pacific_golden_plover,pacific_golden_plover,wader,charadriiformes
glaucous_gull,glaucous-winged_gull,gull,charadriiformes
ciconiaciconia,white_stork,stork,ciconiiformes
marabou_stork,marabou_stork,stork,ciconiiformes
maraboustork,marabou_stork,stork,ciconiiformes
open-billedstork,open-billed_stork,stork,ciconiiformes
open-billstork,open-billed_stork,stork,ciconiiformes
open_bill_stork,open-billed_stork,stork,ciconiiformes
open_billed_stork,open-billed_stork,stork,ciconiiformes
openbill,open-billed_stork,stork,ciconiiformes
openbill_stork,open-billed_stork,stork,ciconiiformes
openbillstork,open-billed_stork,stork,ciconiiformes
open_billstork,open-billed_stork,stork,ciconiiformes
open_billedstork,open-billed_stork,stork,ciconiiformes
stork,stork,stork,ciconiiformes
whitestork,white_stork,stork,ciconiiformes
columbapalumbus,common_wood_pigeon,pigeon,columbiformes
dove,dove,dove,columbiformes
feralpigeon,pigeon,pigeon,columbiformes
littlecuckoo-dove,little_cuckoo-dove,dove,columbiformes
peacefuldove,peaceful_dove,dove,columbiformes
pigeon,pigeon,pigeon,columbiformes
turtle_dove,turtle_dove,dove,columbiformes
turtledove,turtle_dove,dove,columbiformes
rollers,roller,roller,coraciiformes
environment,environment,environment,environmen
equi_2,equine,equine,equine
eq,equine,equine,equine
equus_caballus,equine,equine,equine
horse,equine,equine,equine
equine,equine,equine,equine
equus_ferus_caballus,equine,equine,equine
donkey,donkey,donkey,equine
commonkestrel,common_kestrel,raptor,falconiformes
commonketrel,common_kestrel,raptor,falconiformes
commonkestral,common_kestrel,raptor,falconiformes
falcon,falcon,raptor,falconiformes
falcoperegrinus,peregrine_falcon,raptor,falconiformes
kestrel,kestrel,raptor,falconiformes
lesserkestrel,lesser_kestrel,raptor,falconiformes
peregrine,peregrine_falcon,raptor,falconiformes
peregrine_falcon,peregrine_falcon,raptor,falconiformes
peregrinefalcon,peregrine_falcon,raptor,falconiformes
saker_falcon,saker_falcon,raptor,falconiformes
sakerfalcon,saker_falcon,raptor,falconiformes
cat,feline,feline,feline
felis_catus,feline,feline,feline
feline,feline,feline,feline
ferret,ferret,ferret,ferret
breederchicken,breeder_chicken,chicken,galliformes
broiler,chicken,chicken,galliformes
broilerchicken,chicken,chicken,galliformes
brahmachicken,brahma_chicken,chicken,galliformes
ch,chicken,chicken,galliformes
ck,chicken,chicken,galliformes
chicken,chicken,chicken,galliformes
chiken,chicken,chicken,galliformes
chickenl,chicken,chicken,galliformes
fancychicken,chicken,chicken,galliformes
gallusgallus,chicken,chicken,galliformes
gallus_gallus,chicken,chicken,galliformes
hen,chicken,chicken,galliformes
layinghen,chicken,chicken,galliformes
layer,chicken,chicken,galliformes
layerchicken,chicken,chicken,galliformes
rooster,rooster,chicken,galliformes
silkiechicken,silkie_chicken,chicken,galliformes
silkychicken,silkie_chicken,chicken,galliformes
village_chicken,chicken,chicken,galliformes
villagechicken,chicken,chicken,galliformes
bantam,bantam,fowl,galliformes
bronzeturkey,bronze_turkey,turkey,galliformes
commonpheasant,common_pheasant,pheasant,galliformes
domesticturkey,turkey,turkey,galliformes
domesticturkey,turkey,turkey,galliformes
fowl,fowl,fowl,galliformes
goldenpheasant,golden_pheasant,pheasant,galliformes
greenpeafowl,green_peafowl,peafowl,galliformes
guinea_fowl,guinea_fowl,guinea_fowl,galliformes
guineafowl,guinea_fowl,guinea_fowl,galliformes
kalijpheasant,kalij_pheasant,pheasant,galliformes
kaljipheasant,kalij_pheasant,pheasant,galliformes
peafowl,peafowl,peafowl,galliformes
pheasant,pheasant,pheasant,galliformes
phasianuscolchicus,common_pheasant,pheasant,galliformes
quail,quail,quail,galliformes
qu,quail,quail,galliformes
silverpheasant,silver_pheasant,pheasant,galliformes
turkey,turkey,turkey,galliformes
whitepeafowl,white_peafowl,peafowl,galliformes
wildfowl,fowl,fowl,galliformes
chukar,chukar,partridge,galliformes
chukkar,chukar,partridge,galliformes
meleagrisgallopavo,wild_turkey,turkey,galliformes
korean_native_chicken,korean_native_chicken,chicken,galliformes
partridge,partridge,partridge,galliformes
peacock,peacock,peafowl,galliformes
wildturkey,wild_turkey,turkey,galliformes
wild_chicken,chicken,chicken,galliformes
korean_native_chicken,korean_native_chicken,chicken,galliformes
coturnix,quail,quail,galliformes
waterchicken,common_moorhen,moorhen,gruiformes
commoncoot,common_coot,coot,gruiformes
commoncrane,common_crane,crane,gruiformes
coot,coot,coot,gruiformes
crane,crane,crane,gruiformes
Eurasian_coot,Eurasian_coot,coot,gruiformes
gray-crowedcrane,grey_crowned_crane,crane,gruiformes
hooded_crane,hooded_crane,crane,gruiformes
hoodedcrane,hooded_crane,crane,gruiformes
moorhen,moorhen,moorhen,gruiformes
redcrownedcrane,red-crowned_crane,crane,gruiformes
watercock,watercock,watercock,gruiformes
red-gartered_coot,red-gartered_coot,coot,gruiformes
american_coot,american_coot,coot,gruiformes
red-fronted_coot,red-fronted_coot,coot,gruiformes
mink,mink,mink,mink
hoabara,houbara_bustard,bustard,otidiformes
houbarabustard,houbara_bustard,bustard,otidiformes
nightingale,nightingale,passerine,passeriformes
americancrow,american_crow,passerine,passeriformes
babbler,Old_World_babbler,passerine,passeriformes
barn_swallow,barn_swallow,passerine,passeriformes
barnswallow,barn_swallow,passerine,passeriformes
blackbird,common_blackbird,passerine,passeriformes
blackbulbul,black_bulbul,passerine,passeriformes
bluemagpie,blue_magpie,magpie,passeriformes
ccrow,crow,crow,passeriformes
crow,crow,crow,passeriformes
chestnutmunia,chestnut_munia,finch,passeriformes
commonmagpie,common_green_magpie,passerine,passeriformes
commonmyna,common_myna,passerine,passeriformes
commonraven,common_raven,passerine,passeriformes
crestedmyna,crested_myna,passerine,passeriformes
daurianstarling,daurian_starling,passerine,passeriformes
finch,finch,passerine,passeriformes
goldenmountainthrush,golden_mountain_thrush,passerine,passeriformes
greattit,great_tit,passerine,passeriformes
hill_myna,common_hill_myna,passerine,passeriformes
hillmyna,common_hill_myna,passerine,passeriformes
housecrow,house_crow,crow,passeriformes
housesparrow,house_sparrow,passerine,passeriformes
japanese_white_eye,Japanese_white-eye,passerine,passeriformes
japanesewhite-eye,Japanese_white-eye,passerine,passeriformes
japanesewhiteeye,Japanese_white-eye,passerine,passeriformes
junglecrow,jungle_crow,passerine,passeriformes
large-billedcrow,large-billed_crow,passerine,passeriformes
largebilledcrow,large-billed_crow,passerine,passeriformes
large_billedcrow,large-billed_crow,passerine,passeriformes
long-tailedshrike,long-tailed_shrike,passerine,passeriformes
magpie,magpie,passerine,passeriformes
magpie_robin,Oriental_magpie-robin,passerine,passeriformes
magpierobin,magpie-robin,passerine,passeriformes
munia,munia,passerine,passeriformes
mynah,myna,passerine,passeriformes
mynas,myna,passerine,passeriformes
orientalmagpierobin,Oriental_magpie-robin,passerine,passeriformes
pied_megpie,Australian_magpie,passerine,passeriformes
piedmegpie,Australian_magpie,passerine,passeriformes
red-billedstarling,read-breasted_starling,passerine,passeriformes
robin,robin,passerine,passeriformes
rook,rook,passerine,passeriformes
scaly-breastedmunia,scaly-breasted_munia,passerine,passeriformes
shrike,shrike,passerine,passeriformes
silver-earedmesia,silver-eared_mesia,passerine,passeriformes
silverearedmesia,silver-eared_mesia,passerine,passeriformes
songthrush,song_thrush,passerine,passeriformes
sparrow,sparrow,passerine,passeriformes
starling,starling,starling,passeriformes
swallow,swallow,swallow,passeriformes
tree_sparrow,tree_sparrow,passerine,passeriformes
treesparrow,tree_sparrow,passerine,passeriformes
whitebackedmunia,white-backed_munia,passerine,passeriformes
white-backedmunia,white-backed_munia,passerine,passeriformes
corvus_frugilegus,rook,passerine,passeriformes
americanpelican,american_pelican,pelican,pelecaniformes
ardeacinerea,Grey_heron,heron,pelecaniformes
ardeacinera,Grey_heron,heron,pelecaniformes
black-crownednightheron,Black-crowned_night_heron,heron,pelecaniformes
black_crowned_night_heron,Black-crowned_night_heron,heron,pelecaniformes
cattleegret,cattle_egret,heron,pelecaniformes
chinesepondheron,Chinese_pond_heron,heron,pelecaniformes
dalmatianpelican,dalmatian_pelican,pelican,pelecaniformes
egret,egret,heron,pelecaniformes
egrettagarzetta,little_egret,heron,pelecaniformes
eurasianspoonbill,Eurasian_spoonbill,spoonbill,pelecaniformes
grayheron,grey_heron,heron,pelecaniformes
great_egret,great_egret,heron,pelecaniformes
greategret,great_egret,heron,pelecaniformes
greatwhitepelican,great_white_pelican,pelican,pelecaniformes
greenheron,green_heron,heron,pelecaniformes
grey_heron,grey_heron,heron,pelecaniformes
greyheron,grey_heron,heron,pelecaniformes
heron,heron,heron,pelecaniformes
little_egret,little_egret,heron,pelecaniformes
littleegret,little_egret,heron,pelecaniformes
open-billibis,open-billed_ibis,ibis,pelecaniformes
pelican,pelican,pelican,pelecaniformes
pelecanuscrispus,Dalmatian_pelican,pelican,pelecaniformes
pelecanusconspicillatus,Australian_pelican,pelican,pelecaniformes
Peruvian_pelican,Peruvian_pelican,pelican,pelecaniformes
peruvian_pelican,Peruvian_pelican,pelican,pelecaniformes
greatbarbet,great_barbet,barbet,piciformes
black-neckedgrebe,black-necked_grebe,grebe,podicipediformes
blackneckedgrebe,black-necked_grebe,grebe,podicipediformes
earedgrebe,black-necked_grebe,grebe,podicipediformes
great_created_grebe,great_crested_grebe,grebe,podicipediformes
great_crested_grebe,great_crested_grebe,grebe,podicipediformes
greatcrested-grebe,great_crested_grebe,grebe,podicipediformes
greatcrestedgrebe,great_crested_grebe,grebe,podicipediformes
greatdrestedgrebe,great_crested_grebe,grebe,podicipediformes
grebe,grebe,grebe,podicipediformes
little_grebe,little_grebe,grebe,podicipediformes
littlegrebe,little_grebe,grebe,podicipediformes
tachybaptusruficollis,little_grebe,grebe,podicipediformes
red-necked_grebe,red-necked_grebe,grebe,podicipediformes
wedge-tailed_shearwater,shearwater,shearwater,procellariiformes
psittacine,parrot,parrot,psittaciformes
rhea,rhea,rhea,rheiformes
harbor_seal,harbor_seal,seal,seal
seal,seal,seal,seal
eagleowl,Eurasian_eagle-owl,owl,strigiformes
eurasian_eagle_owl,Eurasian_eagle-owl,owl,strigiformes
eurasianeagleowl,Eurasian_eagle-owl,owl,strigiformes
eurasianeagelowl,Eurasian_eagle-owl,owl,strigiformes
greathornedowl,great_horned_owl,owl,strigiformes
littleowl,little_owl,owl,strigiformes
otusscops,Eurasian_scops_owl,owl,strigiformes
owl,owl,owl,strigiformes
snowyowl,snowy_owl,owl,strigiformes
ostrich,ostrich,ostrich,struthioniformes
cormorant,cormorant,cormorant,suliformes
doublecrestedcormorant,double-crested_cormorant,cormorant,suliformes
great_cormorant,great_cormorant,cormorant,suliformes
greatcormorant,great_cormorant,cormorant,suliformes
morusbassanus,northern_gannet,gannet,suliformes
neotropiccormorant,neotropic_cormorant,cormorant,suliformes
northerngannet,northern_gannet,gannet,suliformes
notherngannet,northern_gannet,gannet,suliformes
phalacrocorax,phalacrocorax,cormorant,suliformes
phalacrocoraxcarbo,great_cormorant,cormorant,suliformes
finistere,swine,swine,swine
sus_scrofa_domesticus,swine,swine,swine
sus_scrofa_scrofa,swine,swine,swine
sus_scrofa,swine,swine,swine
pig,swine,swine,swine
sw,swine,swine,swine
wild_boar,swine,swine,swine
swine,swine,swine,swine
ladyamherstspheasant,ladyamherstspheasant,pheasant,galliformes
roughleggedhawk,roughleggedhawk,hawk,accipitriformes
barredowl,barredowl,owl,strigiformes
greatblueheron,greatblueheron,heron,pelecaniformes
lessersnowgoose,lessersnowgoose,goose,anseriformes
chineseringneckpheasant,chineseringneckpheasant,pheasant,galliformes
capeteal,capeteal,duck,anseriformes
egyptiangoose,egyptiangoose,goose,anseriformes
redbreastedmerganser,redbreastedmerganser,duck,anseriformes
americanwhitepelican,americanwhitepelican,pelican,pelecaniformes
northwesterncrow,northwesterncrow,crow,passeriformes
barnowl,barnowl,owl,strigiformes